genre,avg_rating
Action,3.4479775390943814
Adventure,3.5086089151939075
Animation,3.6299370349170004
Children,3.412956125108601
Comedy,3.3847207640898267
Crime,3.658293867274144
Documentary,3.797785069729286
Drama,3.6561680103038685
Fantasy,3.4910005070136894
Film-Noir,3.920114942528736
Horror,3.258195034974626
IMAX,3.618335343787696
Musical,3.5636781053649105
Mystery,3.632460255407871
Romance,3.5065107040388437
Sci-Fi,3.4558507860996692
Thriller,3.4937232956478996
War,3.8082938876312
Western,3.583937823834197
